name	Group	Sum_saturated%(%)	Sum_monounsaturate%(%)	Sum_polyunsaturated%(%)
ERR4918571	CTRL	19,2	43,6	34,5
ERR4918550	CTRL	19,5	44	34,2
ERR4918579	CTRL	19,5	43,4	34,7
ERR4918609	BM	20,4	38,9	38,5
ERR4918645	BM	20	39,3	38,2
ERR4918602	BM	19,4	40,6	37,3
ERR4918583	BM	20,1	39,4	37,9
ERR4918638	CTRL	19,8	43,6	34,4
ERR4918685	CTRL	19,2	44,4	33,9
ERR4918666	BM	19,9	39,2	38,7
ERR4918703	BM	20,1	39,2	38,5
ERR4918750	BM	20,4	39,2	38,3
ERR4918710	BM	20,2	39,3	38,4
ERR4918708	BM	20,3	38,9	38,9
ERR4918689	BM	19,7	39,2	39
ERR4918722	BM	20,3	40,5	37,1
ERR4918729	CTRL	19,3	44,3	34,6
ERR4918700	CTRL	19,8	43,5	34,6
ERR4918737	CTRL	19,2	44	34,7
ERR4918734	CTRL	19	44,4	34,5
