"Id","Type","KOfam","COG_CATEGORY"
"Sum_polyunsaturated%(%)","Fatty Acid",NA,NA
"MG_K00783","KO_coverage","23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]","Translation, ribosomal structure and biogenesis"
"MG_K02110","KO_coverage","F-type H+-transporting ATPase subunit c","Energy production and conversion"
"MG_K06867","KO_coverage","uncharacterized protein",NA
"MT_K00962","KO_Expression","polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]","Translation, ribosomal structure and biogenesis"
"MT_K03561","KO_Expression","biopolymer transport protein ExbB","Intracellular trafficking, secretion, and vesicular transport"
"MT_K09710","KO_Expression","ribosome-associated protein","Translation, ribosomal structure and biogenesis"
"MT_K03168","KO_Expression","DNA topoisomerase I [EC:5.6.2.1]","Replication, recombination and repair"
"MT_K02407","KO_Expression","flagellar hook-associated protein 2","Cell motility"
"MT_K07107","KO_Expression","acyl-CoA thioester hydrolase [EC:3.1.2.-]","Lipid transport and metabolism"
"MT_K03525","KO_Expression","type III pantothenate kinase [EC:2.7.1.33]","Coenzyme transport and metabolism"
"MT_K00099","KO_Expression","1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]","Lipid transport and metabolism"
"MT_K02411","KO_Expression","flagellar assembly protein FliH","Cell motility"
"MT_K12410","KO_Expression","NAD-dependent deacetylase [EC:2.3.1.286]","Posttranslational modification, protein turnover, chaperones"
"MT_K20534","KO_Expression","polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]","Cell wall/membrane/envelope biogenesis"
"MT_K02835","KO_Expression","peptide chain release factor 1","Translation, ribosomal structure and biogenesis"
"MT_K02124","KO_Expression","V/A-type H+/Na+-transporting ATPase subunit K","Energy production and conversion"
"MT_K03617","KO_Expression","H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A","Energy production and conversion"
"MT_K09765","KO_Expression","epoxyqueuosine reductase [EC:1.17.99.6]","Translation, ribosomal structure and biogenesis"
"MT_K03462","KO_Expression","nicotinamide phosphoribosyltransferase [EC:2.4.2.12]","Coenzyme transport and metabolism"
"Sum_monounsaturate%(%)","Fatty Acid",NA,NA
"MG_K00131","KO_coverage","glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]","Lipid transport and metabolism"
"MG_K00382","KO_coverage","dihydrolipoyl dehydrogenase [EC:1.8.1.4]","Energy production and conversion"
"MG_K00763","KO_coverage","nicotinate phosphoribosyltransferase [EC:6.3.4.21]","Coenzyme transport and metabolism"
"MG_K01151","KO_coverage","deoxyribonuclease IV [EC:3.1.21.2]","Replication, recombination and repair"
"MG_K01153","KO_coverage","type I restriction enzyme, R subunit [EC:3.1.21.3]","Defense mechanisms"
"MG_K01478","KO_coverage","arginine deiminase [EC:3.5.3.6]","Amino acid transport and metabolism"
"MG_K01507","KO_coverage","inorganic pyrophosphatase [EC:3.6.1.1]","Energy production and conversion"
"MG_K01893","KO_coverage","asparaginyl-tRNA synthetase [EC:6.1.1.22]","Translation, ribosomal structure and biogenesis"
"MG_K02003","KO_coverage","putative ABC transport system ATP-binding protein","Defense mechanisms"
"MG_K02469","KO_coverage","DNA gyrase subunit A [EC:5.6.2.2]","Replication, recombination and repair"
"MG_K03110","KO_coverage","fused signal recognition particle receptor","Intracellular trafficking, secretion, and vesicular transport"
"MG_K03471","KO_coverage","ribonuclease HIII [EC:3.1.26.4]","Replication, recombination and repair"
"MG_K03547","KO_coverage","DNA repair protein SbcD/Mre11","Replication, recombination and repair"
"MG_K03700","KO_coverage","recombination protein U","General function prediction only"
"MG_K03701","KO_coverage","excinuclease ABC subunit A","Replication, recombination and repair"
"MG_K03763","KO_coverage","DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]","Replication, recombination and repair"
"MG_K06442","KO_coverage","23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]","Translation, ribosomal structure and biogenesis"
"MG_K06948","KO_coverage","30S ribosome assembly GTPase","Translation, ribosomal structure and biogenesis"
"MG_K06967","KO_coverage","tRNA (adenine22-N1)-methyltransferase [EC:2.1.1.217]","Translation, ribosomal structure and biogenesis"
"MG_K07030","KO_coverage","fatty acid kinase [EC:2.7.2.18]","Lipid transport and metabolism"
"MG_K07335","KO_coverage","basic membrane protein A and related proteins","Signal transduction mechanisms"
"MG_K08281","KO_coverage","nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]","Coenzyme transport and metabolism"
"MG_K11144","KO_coverage","primosomal protein DnaI","Replication, recombination and repair"
"MG_K15581","KO_coverage","oligopeptide transport system permease protein","Amino acid transport and metabolism"
"MG_K16785","KO_coverage","energy-coupling factor transport system permease protein","Coenzyme transport and metabolism"
"MG_K18692","KO_coverage","ATP-dependent RNA helicase CshB [EC:3.6.4.13]","Replication, recombination and repair"
"MG_K23537","KO_coverage","general nucleoside transport system ATP-binding protein","Nucleotide transport and metabolism"
